Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00      481     0.00     0.00  std::_Rb_tree<tlm::tlm_generic_payload*, std::pair<tlm::tlm_generic_payload* const, select_initiator::previous_phase_enum>, std::_Select1st<std::pair<tlm::tlm_generic_payload* const, select_initiator::previous_phase_enum> >, std::less<tlm::tlm_generic_payload*>, std::allocator<std::pair<tlm::tlm_generic_payload* const, select_initiator::previous_phase_enum> > >::_S_value(std::_Rb_tree_node<std::pair<tlm::tlm_generic_payload* const, select_initiator::previous_phase_enum> > const*)
  0.00      0.00     0.00      450     0.00     0.00  std::_Rb_tree_iterator<std::pair<tlm::tlm_generic_payload* const, sc_core::sc_event*> >::operator==(std::_Rb_tree_iterator<std::pair<tlm::tlm_generic_payload* const, sc_core::sc_event*> > const&) const
  0.00      0.00     0.00      446     0.00     0.00  std::_Rb_tree<tlm::tlm_generic_payload*, std::pair<tlm::tlm_generic_payload* const, SimpleBusAT<2, 3>::ConnectionInfo>, std::_Select1st<std::pair<tlm::tlm_generic_payload* const, SimpleBusAT<2, 3>::ConnectionInfo> >, std::less<tlm::tlm_generic_payload*>, std::allocator<std::pair<tlm::tlm_generic_payload* const, SimpleBusAT<2, 3>::ConnectionInfo> > >::_S_left(std::_Rb_tree_node_base*)
  0.00      0.00     0.00      384     0.00     0.00  tlm::tlm_generic_payload::get_data_ptr() const
  0.00      0.00     0.00      384     0.00     0.00  std::map<tlm::tlm_generic_payload*, SimpleBusAT<2, 3>::ConnectionInfo, std::less<tlm::tlm_generic_payload*>, std::allocator<std::pair<tlm::tlm_generic_payload* const, SimpleBusAT<2, 3>::ConnectionInfo> > >::find(tlm::tlm_generic_payload* const&)
  0.00      0.00     0.00      384     0.00     0.00  std::_Rb_tree<tlm::tlm_generic_payload*, std::pair<tlm::tlm_generic_payload* const, SimpleBusAT<2, 3>::ConnectionInfo>, std::_Select1st<std::pair<tlm::tlm_generic_payload* const, SimpleBusAT<2, 3>::ConnectionInfo> >, std::less<tlm::tlm_generic_payload*>, std::allocator<std::pair<tlm::tlm_generic_payload* const, SimpleBusAT<2, 3>::ConnectionInfo> > >::find(tlm::tlm_generic_payload* const&)
  0.00      0.00     0.00      354     0.00     0.00  tlm::tlm_base_target_socket<32u, tlm::tlm_fw_transport_if<tlm::tlm_base_protocol_types>, tlm::tlm_bw_transport_if<tlm::tlm_base_protocol_types>, 1, (sc_core::sc_port_policy)0>::operator->()
  0.00      0.00     0.00      354     0.00     0.00  sc_core::sc_port_b<tlm::tlm_bw_transport_if<tlm::tlm_base_protocol_types> >::operator->()
  0.00      0.00     0.00      353     0.00     0.00  std::_Rb_tree<tlm::tlm_generic_payload*, std::pair<tlm::tlm_generic_payload* const, select_initiator::previous_phase_enum>, std::_Select1st<std::pair<tlm::tlm_generic_payload* const, select_initiator::previous_phase_enum> >, std::less<tlm::tlm_generic_payload*>, std::allocator<std::pair<tlm::tlm_generic_payload* const, select_initiator::previous_phase_enum> > >::_M_lower_bound(std::_Rb_tree_node<std::pair<tlm::tlm_generic_payload* const, select_initiator::previous_phase_enum> >*, std::_Rb_tree_node<std::pair<tlm::tlm_generic_payload* const, select_initiator::previous_phase_enum> >*, tlm::tlm_generic_payload* const&)
  0.00      0.00     0.00      333     0.00     0.00  tlm_utils::peq_with_get<tlm::tlm_generic_payload>::get_event()
  0.00      0.00     0.00      275     0.00     0.00  sc_core::sc_get_curr_simcontext()
  0.00      0.00     0.00      259     0.00     0.00  tlm::tlm_phase::operator=(tlm::tlm_phase_enum)
  0.00      0.00     0.00      258     0.00     0.00  sc_core::sc_fifo<tlm::tlm_generic_payload*>::read(tlm::tlm_generic_payload*&)
  0.00      0.00     0.00      258     0.00     0.00  sc_core::sc_port_b<sc_core::sc_fifo_in_if<tlm::tlm_generic_payload*> >::operator->()
  0.00      0.00     0.00      256     0.00     0.00  SimpleBusAT<2, 3>::initiatorNBTransport(int, tlm::tlm_generic_payload&, tlm::tlm_phase&, sc_core::sc_time&)
  0.00      0.00     0.00      256     0.00     0.00  traffic_generator::tg_queue_c::is_empty()
  0.00      0.00     0.00      256     0.00     0.00  tlm::tlm_generic_payload::set_address(unsigned long long)
  0.00      0.00     0.00      256     0.00     0.00  tlm::tlm_generic_payload::set_response_status(tlm::tlm_response_status)
  0.00      0.00     0.00      256     0.00     0.00  tlm::tlm_generic_payload::acquire()
  0.00      0.00     0.00      256     0.00     0.00  tlm::tlm_generic_payload::release()
  0.00      0.00     0.00      256     0.00     0.00  sc_core::sc_fifo<tlm::tlm_generic_payload*>::write(tlm::tlm_generic_payload* const&)
  0.00      0.00     0.00      256     0.00     0.00  sc_core::sc_fifo<tlm::tlm_generic_payload*>::nb_read(tlm::tlm_generic_payload*&)
  0.00      0.00     0.00      256     0.00     0.00  sc_core::sc_fifo<tlm::tlm_generic_payload*>::buf_read(tlm::tlm_generic_payload*&)
  0.00      0.00     0.00      256     0.00     0.00  sc_core::sc_fifo<tlm::tlm_generic_payload*>::nb_write(tlm::tlm_generic_payload* const&)
  0.00      0.00     0.00      256     0.00     0.00  sc_core::sc_fifo<tlm::tlm_generic_payload*>::buf_write(tlm::tlm_generic_payload* const&)
