Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00       16     0.00     0.00  void std::_Destroy_aux<true>::__destroy<sc_core::sc_signal_inout_if<pkt>**>(sc_core::sc_signal_inout_if<pkt>**, sc_core::sc_signal_inout_if<pkt>**)
  0.00      0.00     0.00       16     0.00     0.00  std::_Vector_base<sc_core::sc_signal_in_if<pkt>*, std::allocator<sc_core::sc_signal_in_if<pkt>*> >::_M_deallocate(sc_core::sc_signal_in_if<pkt>**, unsigned long)
  0.00      0.00     0.00       16     0.00     0.00  std::_Vector_base<sc_core::sc_signal_in_if<sc_dt::sc_int<4> >*, std::allocator<sc_core::sc_signal_in_if<sc_dt::sc_int<4> >*> >::_M_deallocate(sc_core::sc_signal_in_if<sc_dt::sc_int<4> >**, unsigned long)
  0.00      0.00     0.00       16     0.00     0.00  std::_Vector_base<sc_core::sc_signal_inout_if<pkt>*, std::allocator<sc_core::sc_signal_inout_if<pkt>*> >::_M_deallocate(sc_core::sc_signal_inout_if<pkt>**, unsigned long)
  0.00      0.00     0.00       16     0.00     0.00  sc_core::sc_signal_in_if<pkt>** std::__uninitialized_copy<true>::uninitialized_copy<sc_core::sc_signal_in_if<pkt>**, sc_core::sc_signal_in_if<pkt>**>(sc_core::sc_signal_in_if<pkt>**, sc_core::sc_signal_in_if<pkt>**, sc_core::sc_signal_in_if<pkt>**)
  0.00      0.00     0.00       16     0.00     0.00  sc_core::sc_signal_in_if<sc_dt::sc_int<4> >** std::__uninitialized_copy<true>::uninitialized_copy<sc_core::sc_signal_in_if<sc_dt::sc_int<4> >**, sc_core::sc_signal_in_if<sc_dt::sc_int<4> >**>(sc_core::sc_signal_in_if<sc_dt::sc_int<4> >**, sc_core::sc_signal_in_if<sc_dt::sc_int<4> >**, sc_core::sc_signal_in_if<sc_dt::sc_int<4> >**)
  0.00      0.00     0.00       16     0.00     0.00  sc_core::sc_signal_inout_if<pkt>** std::__uninitialized_copy<true>::uninitialized_copy<sc_core::sc_signal_inout_if<pkt>**, sc_core::sc_signal_inout_if<pkt>**>(sc_core::sc_signal_inout_if<pkt>**, sc_core::sc_signal_inout_if<pkt>**, sc_core::sc_signal_inout_if<pkt>**)
  0.00      0.00     0.00       16     0.00     0.00  sc_core::sc_signal_in_if<pkt>** std::__copy_move_a<false, sc_core::sc_signal_in_if<pkt>**, sc_core::sc_signal_in_if<pkt>**>(sc_core::sc_signal_in_if<pkt>**, sc_core::sc_signal_in_if<pkt>**, sc_core::sc_signal_in_if<pkt>**)
  0.00      0.00     0.00       16     0.00     0.00  sc_core::sc_signal_in_if<sc_dt::sc_int<4> >** std::__copy_move_a<false, sc_core::sc_signal_in_if<sc_dt::sc_int<4> >**, sc_core::sc_signal_in_if<sc_dt::sc_int<4> >**>(sc_core::sc_signal_in_if<sc_dt::sc_int<4> >**, sc_core::sc_signal_in_if<sc_dt::sc_int<4> >**, sc_core::sc_signal_in_if<sc_dt::sc_int<4> >**)
  0.00      0.00     0.00       16     0.00     0.00  sc_core::sc_signal_inout_if<pkt>** std::__copy_move_a<false, sc_core::sc_signal_inout_if<pkt>**, sc_core::sc_signal_inout_if<pkt>**>(sc_core::sc_signal_inout_if<pkt>**, sc_core::sc_signal_inout_if<pkt>**, sc_core::sc_signal_inout_if<pkt>**)
